country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,language
South Korea,KR,2026-02-15,Films,1,Even If This Love Disappears Tonight,,2,English
South Korea,KR,2026-02-15,Films,2,No Other Choice,,3,English
South Korea,KR,2026-02-15,Films,3,Noah,,1,English
South Korea,KR,2026-02-15,Films,4,Missing You,,5,English
South Korea,KR,2026-02-15,Films,5,The Ugly,,6,English
South Korea,KR,2026-02-15,Films,6,Troubleshooter,,1,English
South Korea,KR,2026-02-15,Films,7,Despicable Me 4,,3,English
South Korea,KR,2026-02-15,Films,8,특송,,1,Korean
South Korea,KR,2026-02-15,Films,9,The Rip,,5,English
South Korea,KR,2026-02-15,Films,10,Miss Conspirator,,1,English
South Korea,KR,2026-02-15,TV,1,The Art of Sarah,The Art of Sarah: Limited Series,1,English
South Korea,KR,2026-02-15,TV,2,Single's Inferno Reunion,Single's Inferno Reunion: Limited Series,1,English
South Korea,KR,2026-02-15,TV,3,Single’s Inferno,Single’s Inferno: Season 5,4,English
South Korea,KR,2026-02-15,TV,4,Undercover Miss Hong,Undercover Miss Hong: Limited Series,5,English
South Korea,KR,2026-02-15,TV,5,Bake Your Dream,Bake Your Dream: Season 1,2,English
South Korea,KR,2026-02-15,TV,6,Sergeant Kim at Military,Sergeant Kim at Military: Season 1,2,English
South Korea,KR,2026-02-15,TV,7,Can This Love Be Translated?,Can This Love Be Translated?: Limited Series,5,English
South Korea,KR,2026-02-15,TV,8,To My Beloved Thief,To My Beloved Thief: Season 1,6,English
South Korea,KR,2026-02-15,TV,9,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,5,English
South Korea,KR,2026-02-15,TV,10,The Korean Chef,The Korean Chef 2026,1,English
